,Unnamed: 0,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location,MPG
4526,4526,Chrysler,Town,2001.0,208833.0,"C45, Lagos",Automatic,Registered,ASH,863750,Nigerian used,19
4527,4527,Kia,Cerato,2015.0,37869.0,"C45, Ilorin",Automatic,Registered,0,4520000,Nigerian used,0
4528,4528,Volkswagen,Passat,2010.0,143153.0,"C45, Lagos",Automatic,Imported,BLACK,3395000,Foreign used,28
4529,4529,Toyota,Sienna,2004.0,123534.0,"C45, Lagos",Automatic,Registered,0,1578000,Nigerian used,20
4530,4530,Honda,Civic,2008.0,141454.0,"C45, Abuja",Automatic,Registered,Grey,1802000,Nigerian used,44
4531,4531,Volkswagen,Touareg,2008.0,11717.0,"C45, Ibadan",Automatic,Registered,0,2362000,Nigerian used,19
4532,4532,Toyota,Camry,2015.0,32639.0,"C45, Port",Automatic,Imported,Black,7626000,Foreign used,26
4533,4533,Honda,Accord,2008.0,104068.0,"C45, Lagos",Automatic,Registered,0,1707500,Nigerian used,48
4534,4534,Mercedes-Benz,C300,2008.0,136312.0,"C45, Lagos",Automatic,Imported,BLACK,3947500,Foreign used,27
4535,4535,Chrysler,Town,2002.0,174161.0,"C45, Lagos",Automatic,Registered,RED,582500,Nigerian used,19
4536,4536,Honda,Cr-V,2005.0,208387.0,"C45, Lagos",Automatic,Imported,GREY,1634000,Foreign used,30
4537,4537,Hyundai,Santa,2004.0,213245.0,"C45, Lagos",Automatic,Registered,BLACK,976250,Nigerian used,32
4538,4538,Nissan,Sentra,2008.0,98650.0,"C45, Lagos",Automatic,Registered,0,1354000,Nigerian used,32
4539,4539,Honda,Accord,1999.0,237903.0,"C45, ",Automatic,Registered,WHITE,570000,Nigerian used,48
4540,4540,Mercedes-Benz,E320,1996.0,95310.0,"C45, Lagos",Automatic,Registered,0,1360000,Nigerian used,20
4541,4541,Toyota,Sienna,2008.0,60269.0,"C45, Lagos",Automatic,Registered,WINE,2045000,Nigerian used,20
4542,4542,Honda,Civic,2012.0,107736.0,"C45, Port",Automatic,Registered,Blue,2810000,Nigerian used,44
4543,4543,Mercedes-Benz,Gl450,2007.0,37678.0,"C45, Lagos",Automatic,Registered,GREY,3168400,Nigerian used,19
4544,4544,Toyota,Avalon,2000.0,205161.0,"C45, Abuja",Automatic,Registered,RED,863750,Nigerian used,26
4545,4545,Volvo,Xc90,2004.0,127559.0,"C45, Lagos",Automatic,Registered,GREEN,807500,Nigerian used,25
4546,4546,Toyota,Camry,1997.0,0.0,"C45, Onitsha",Automatic,Registered,0,863750,Nigerian used,26
4547,4547,Toyota,Camry,2011.0,0.0,"C45, Abuja",Automatic,Registered,BLACK,1707500,Nigerian used,26
4548,4548,Mercedes-Benz,Gl450,2013.0,114254.0,"C45, ",Automatic,Imported,BLACK,11832500,Foreign used,19
4549,4549,Mitsubishi,L400,1998.0,177816.0,"C45, Port",Manual,Registered,GREEN,1130000,Nigerian used,0
4550,4550,Toyota,Sienna,2017.0,104931.0,"C45, Lagos",Automatic,Registered,0,6730000,Nigerian used,20
4551,4551,Lexus,Es,2003.0,112042.0,"C45, Lagos",Automatic,Registered,0,2250000,Nigerian used,26
4552,4552,Toyota,Camry,2009.0,65936.0,"C45, Lagos",Automatic,Registered,Green,2495000,Nigerian used,26
4553,4553,Mercedes-Benz,E350,2010.0,141968.0,"C45, Port",Automatic,Registered,BLACK,5610000,Nigerian used,25
4554,4554,Ford,Edge,2011.0,117753.0,"C45, Port",Automatic,Registered,GREY,3930000,Nigerian used,24
4555,4555,Lexus,Rx,1999.0,0.0,"C45, Abuja",Automatic,Registered,gold,1186000,Nigerian used,23
4556,4556,Toyota,Corolla,2003.0,190273.0,"C45, ",Automatic,Registered,BLUE,1578000,Nigerian used,34
4557,4557,Acura,Tl,2004.0,114780.0,"C45, Lagos",Automatic,Imported,0,1354000,Foreign used,23
4558,4558,Kia,Sorento,2012.0,57042.0,"C45, Lagos",Automatic,Registered,blue,2045000,Nigerian used,37
