,Make,Model,Year,Mileage (KM),Location,Transmission,Selling Condition,Colour,Price,Used Location
4825,Toyota,Sienna,2011,219443,"C45, Lagos",Automatic,Imported,Wine,5645000,Foreign used
4826,Toyota,Highlander,2008,99446,"C45, Port",Automatic,Registered,Blue,4182500,Nigerian used
4827,Toyota,Sienna,2016,46522,"C45, Lagos",Automatic,Imported,GRAY,7895000,Foreign used
4828,Mercedes-Benz,E350,2011,103328,"C45, Owerri",Automatic,Registered,BLACK,4520000,Nigerian used
4829,Ford,Edge,2007,165490,"C45, Abuja",Automatic,Registered,GOLD,1697500,Nigerian used
4830,Land,Range,2010,89498,"C45, Lagos",Automatic,Registered,0,2210000,Nigerian used
4831,GAC,GA3-S,2016,68221,"C45, Lagos",Automatic,Registered,Gold,1932500,Nigerian used
4832,Toyota,Sienna,2011,83829,"C45, Lagos",Automatic,Imported,BLACK,4407500,Foreign used
4833,Nissan,Versa,2007,283061,"C45, Lagos",Automatic,Imported,GRAY,1505000,Foreign used
4834,Toyota,Rav4,2018,23447,"C45, ",Automatic,Registered,0,9582500,Nigerian used
4835,Toyota,Sienna,2005,145657,"C45, Lagos",Automatic,Imported,SILVER,2607500,Foreign used
4836,BMW,5,2003,213394,"C45, Abuja",Automatic,Registered,BLACK,1370000,Nigerian used
4837,Toyota,Avalon,2000,240109,"C45, Onitsha",Automatic,Registered,0,863750,Nigerian used
4838,Mercedes-Benz,C280,2006,223952,"C45, Kaduna",Automatic,Registered,WHITE,1932500,Nigerian used
4839,Toyota,4Runner,2007,135380,"C45, Lagos",Automatic,Registered,White,2270000,Nigerian used
4840,Mercedes-Benz,E350,2006,161294,"C45, Kaduna",Automatic,Registered,BLUE,2832500,Nigerian used
4841,Mercedes-Benz,C350,2008,148497,"C45, Kaduna",Automatic,Imported,SILVER,4295000,Foreign used
4842,Mitsubishi,SpaceStar,1999,207359,"C45, Ilorin",Manual,Registered,0,503750,Nigerian used
4843,Honda,Pilot,2009,78123,"C45, Lagos",Automatic,Registered,BLUE,2270000,Nigerian used
4844,Pontiac,Vibe,2004,166247,"C45, Lagos",Automatic,Imported,SILVER,2213750,Foreign used
4845,Nissan,Pathfinder,2011,53993,"C45, Port",Automatic,Registered,BLACK,2607500,Nigerian used
4846,Mercedes-Benz,Ml350,2004,286603,"C45, Lagos",Automatic,Imported,BLACK,3507500,Foreign used
4847,Lexus,Rx,2007,175846,"C45, Abuja",Automatic,Registered,Grey,3620000,Nigerian used
4848,Mercedes-Benz,R350,2006,138357,"C45, Abuja",Automatic,Registered,Grey,2210000,Nigerian used
4849,Toyota,Rav4,2004,221807,"C45, Lagos",Automatic,Registered,Silver,1257500,Nigerian used
4850,MG,350s,2014,67502,"C45, Lagos",Automatic,Registered,GOLD,1257500,Nigerian used
4851,Toyota,Venza,2013,153859,"C45, Onitsha",Automatic,Imported,Black,5420000,Foreign used
4852,Honda,Accord,2015,120343,"C45, Abuja",Automatic,Imported,SILVER,4520000,Foreign used
4853,Volvo,V40,2000,239376,"C45, Lagos",Automatic,Imported,BLUE,1145000,Foreign used
